state,group,early_period,modern_period,change,percent_change
MI,Servicemember,0.9768209,0.9859574,0.009136465,0.9136465
MN,Servicemember,0.9698611,0.9816895,0.011828383,1.1828383
MO,Servicemember,0.9731203,0.9836911,0.010570785,1.0570784999999998
MS,Servicemember,0.9724459,0.9832773,0.010831469,1.0831469
MT,Servicemember,0.9510188,0.9700135,0.018994656,1.8994655999999999
NC,Servicemember,0.9690057,0.9811633,0.012157607,1.2157607000000001
ND,Servicemember,0.9757584,0.9853074,0.009548986,0.9548986
NE,Servicemember,0.9679612,0.9805203,0.01255905,1.255905
NH,Servicemember,0.979137,0.9873724,0.00823534,0.8235340000000001
NJ,Servicemember,0.9723421,0.9832136,0.010871552,1.0871552
NM,Servicemember,0.9660903,0.9793671,0.013276823,1.3276823
NV,Servicemember,0.9671041,0.9799922,0.012888086,1.2888086
NY,Servicemember,0.9759679,0.9854356,0.009467681,0.9467681
OH,Servicemember,0.9719912,0.9829983,0.011007051,1.1007051
OK,Servicemember,0.9648042,0.9785734,0.013769204,1.3769204
OR,Servicemember,0.9702128,0.9819058,0.011692929,1.1692928999999999
PA,Servicemember,0.9757063,0.9852755,0.00956921,0.956921
RI,Servicemember,0.9757248,0.9852869,0.009562007,0.9562007000000001
SC,Servicemember,0.9684501,0.9808213,0.012371227,1.2371227
SD,Servicemember,0.965203,0.9788196,0.013616599,1.3616599
TN,Servicemember,0.9650131,0.9787024,0.01368929,1.368929
TX,Servicemember,0.9730158,0.983627,0.010611178,1.0611178
UT,Servicemember,0.9715096,0.9827026,0.011192958,1.1192958
VA,Servicemember,0.9712118,0.9825197,0.01130785,1.130785
VT,Servicemember,0.9734063,0.9838665,0.010460171,1.0460171
WA,Servicemember,0.9621173,0.9769125,0.014795216,1.4795216
WI,Servicemember,0.9734632,0.9839014,0.010438173,1.0438173
WV,Servicemember,0.9738306,0.9841266,0.010295996,1.0295996
WY,Servicemember,0.9528475,0.9711545,0.018307012,1.8307012
